"","Entity","Records_Lost","Year","Full_Story","Sector","Data_Sensitivity","Malware","Lost_or_Stolen_Device","Intentional_Data_Leak","Web_Based_Attack","Network_Based_Attack","Not_Enough_Info","State_Sponsored","Poor_Security_Practices","Method"
"46","Virginia Dept. Of Health","8,257,378","2009","Hackers Break Into Virginia Health Professions Database, Demand Ransom
Hackers last week broke into a Virginia state Web site used by pharmacists to track prescription drug abuse. They deleted records on more than 8 million patients and replaced the site's homepage with a ransom note demanding $10 million for the return of the records, according to a posting on Wikileaks.org, an online clearinghouse for leaked documents.

Wikileaks reports that the Web site for the Virginia Prescription Monitoring Program was defaced last week with a message claiming that the database of prescriptions had been bundled into an encrypted, password-protected file.

Wikileaks has published a copy of the ransom note left in place of the PMP home page, a message that claims the state of Virginia would need to pay the demand in order to gain access to a password needed to unlock those records:

""I have your [expletive] In *my* possession, right now, are 8,257,378 patient records and a total of 35,548,087 prescriptions. Also, I made an encrypted backup and deleted the original. Unfortunately for Virginia, their backups seem to have gone missing, too. Uhoh :(For $10 million, I will gladly send along the password.""

The site, along with a number of other Web pages related to Virginia Department of Health Professions, remains unreachable at this time. Sandra Whitley Ryals, director of Virginia's Department of Health Professions, declined to discuss details of the hacker's claims, and referred inquires to the FBI.

""There is a criminal investigation under way by federal and state authorities, and we take the information security very serious,"" she said.

A spokesman for the FBI declined to confirm or deny that the agency may be investigating.

Whitley Ryals said the state discovered the intrusion on April 30, after which time it shut down Web site site access to dozens of pages serving the Department of Health Professions. The state also has temporarily discontinued e-mail to and from the department pending the outcome of a security audit, Whitley Ryals said.

""We do have some of systems restored, but we're being very careful in working with experts and authorities to take essential steps as we proceed forward,"" she said. ""Only when the experts tell us that these systems are safe and secure for being live and interactive will that restoration be complete.""

She added that the department does have a page online at www.dhp.virginia.gov that lists the phone and fax numbers for various state health boards, and that the state would continue issuing health care licenses and investigating violations of the law or regulations of state health licensees.

This is the second major extortion attack related to the theft of health care data in the past year. In October 2008, Express Scripts, one of the nation's largest processors of pharmacy prescriptions, disclosed that extortionists were threatening to disclose personal and medical information on millions of Americans if the company failed to meet payment demands. Express Scripts is currently offering a $1 million reward for information leading to the arrest and conviction of the individual(s) responsible for trying to extort money from the company.","government","4",0,0,0,1,0,0,0,0,"Web_Based_Attack"
"47","University of California Berkeley","160,000","2009","UC Berkeley computers hacked, 160,000 at risk
Attackers access public health center Web site, then break into secured databases on the same server, stealing some 97,000 Social Security numbers.
Hackers broke into the University of California at Berkeley's health services center computer and potentially stole the personal information of more than 160,000 students, alumni, and others, the university announced Friday.

At particular risk of identity theft are some 97,000 individuals whose Social Security numbers were accessed in the breach, but it's still unclear whether hackers were able to match up those SSNs with individual names, Shelton Waggener, UCB's chief technology officer, said in a press conference Friday afternoon.
The attackers accessed a public Web site and then bypassed additional secured databases stored on the same server. In addition to SSNs, the databases contained health insurance information and non-treatment medical information, such as immunization records and names of doctors patients had seen. No medical records (i.e. patient diagnoses, treatments, and therapies) were taken, as they are stored in a separate system, emphasized Steve Lustig, associate vice chancellor for health and human services.

""Their ID has not been stolen,"" he added. ""Some data has been stolen.""

The server breach began on October 9, 2008, and continued through April 9, when a campus computer administrator doing routine maintenance discovered messages left by the attackers. Logs indicate that the hacks originated from overseas, ""primarily in the Asian theater,"" Waggener said, later specifying traces to China.

While campus police and the FBI were immediately notified of the breach, it wasn't until April 21, Waggener said, that officials learned data had been stolen. Since then, the focus of the investigation has been figuring out what was taken and who is at risk. The hackers' specific techniques are still being determined as part of the ongoing criminal investigation, he said.

From the looks of it, however, one outside database security software vendor, Sentrigo CTO Slavik Markovich, suspects an SQL injection, in which a small malicious script is inserted into a database that feeds information to the Web site. Markovich also questions whether the university has appropriate monitoring tools in place to have not noticed the hack for six months, and why it hosted data with different levels of sensitivity on the same server.

The university started notifying the 160,000 people at risk via e-mail and snail mail on Friday. Victims include an assortment of current and former Berkeley students--as well as their parents or spouses, if linked to insurance coverage--who had University Health Services health care coverage or received services. Also included are 3,400 students of Mills College in Oakland, Calif., which contracts with the university for health services.

The university has warned those affected to put a fraud alert on their credit reporting accounts. It has also set up a Web site and hotline to help the victims.

In 2005, a PC was stolen from a Berkeley graduate admission office that held sensitive data on some 98,000 people, stretching back three decades. And the university has dealt with security viruses and the like, Waggener said. But this was the first such server breach.

With this, Waggener said, Berkeley joins a long list of prestigious institutions suffering from such increasingly sophisticated and malicious attacks. ""We're defending against attacks from around the world,"" he said.","academic","3",0,0,0,1,0,0,0,0,"Web_Based_Attack"
"48","Health Net ","1,500,000","2009","Health Net says 1.5M medical records lost in data breach
Connecticut A.G. calls six-month delay in reporting loss 'incomprehensible
A hard drive with seven years' worth of personal financial and medical information on about 1.5 million customers of Health Net of the Northeast Inc. was reported missing to state officials yesterday -- six months after the drive went missing.

Along with medical records, the hard drive contains names, addresses and Social Security numbers of Health Net customers from Arizona, Connecticut, New Jersey and New York. Connecticut has data breach laws requiring individuals be notified of the loss of their personal data without reasonable delay.

The data loss, which occurred in May, was only reported by the insurance company to the Connecticut state attorney general's office and the Department of Insurance yesterday. The device containing the data was an external, portable hard drive. The data had not been encrypted.
Health Net, based in Shelton, Conn., had no information about the data breach on its Web site.

Connecticut Attorney General Richard Blumenthal said his office is investigating the data breach. ""Health Net's incomprehensible foot-dragging demonstrates shocking disregard for patients' financial security, as well as loss of their highly sensitive and confidential personal health information,"" he said in a statement.

""I will demand immediate answers and action, including at least two years of comprehensive identity theft protection for consumers,"" he said. ""We will demand identity theft insurance and reimbursement for credit freezes as well as credit monitoring for at least two years for all 446,000 consumers"" in Connecticut whose data is at risk.

The state's insurance commissioner, Thomas Sullivan, said he is requiring Health Net to offer credit protection monitoring through Debix, a company that provides identity-theft protection services.
According to a statement by Health Net, the information on the drive was saved in an image format that cannot be read without special software. Health Net plans to send letters to its customers officially notifying them of the incident.

""Protecting the privacy of our members is extremely important to us,"" Health Net said. ""We apologize for any inconvenience or concern this may cause our members.""

The company said that, to date, it has received no reports of misused data arising from the breach and pledged to provide credit monitoring for over two years ""free of charge to all impacted members who elect this service, and will provide assistance to any member who has experienced any suspicious activity, identity theft or health care fraud between May 2009 and their date of enrollment with our identity protection service.""

Health Net of the Northeast is a subsidiary of managed health care provider Health Net Inc., based in Woodland Hills, Calif. Health Net Inc. is a $15.3 billion company that provides managed medical coverage to some 6.7 million customers in the U.S.

Health Net of the Northeast currently has about 580,000 members and a physician network comprising more than 160,000 doctors, 5,440 pharmacies, and 244 hospitals throughout Connecticut, New York, New Jersey, and Pennsylvania.","healthcare","4",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"49","US Military","76,000,000","2009","Probe Targets Archives' Handling of Data on 70 Million Vets

The inspector general of the National Archives and Records Administration is investigating a potential data breach affecting tens of millions of records about U.S. military veterans, Wired.com has learned. The issue involves a defective hard drive the agency sent back to its vendor for repair and recycling without first destroying the data.

The hard drive helped power eVetRecs, the system veterans use to request copies of their health records and discharge papers. When the drive failed in November of last year, the agency returned the drive to GMRI, the contractor that sold it to them, for repair. GMRI determined it couldn't be fixed, and ultimately passed it to another firm to be recycled.

The incident was reported to NARA's inspector general by Hank Bellomy, a NARA IT manager, who charges that the move put 70 million veterans at risk of identity theft, and that NARA's practice of returning hard drives unsanitized was symptomatic of an irresponsible security mindset unbecoming to America's record-keeping agency.

""This is the single largest release of personally identifiable information by the government ever,"" Bellomy told Wired.com. ""When the USDA did the same thing, they provided credit monitoring for all their employees. We leaked 70 million records, and no one has heard a word of it.""

But NARA says the lost drive is not a problem because its contractors signed privacy promises in their contracts, though the agency has since changed its policy to require that sensitive media be destroyed by NARA itself.

The drive was part of a RAID array of six drives containing an Oracle database that held detailed records on 76 million veterans, including millions of Social Security numbers dating to 1972, when the military began using individuals' Social Security numbers as their service numbers.

When the unencrypted drive failed, Bellomy says he tried to subvert the longstanding recycling policy by hiding the drive in his safe. But it was taken out of his control when he was put on long-term leave. Under the conditions of the maintenance contract, if NARA did not return the drive, GMRI would have billed the agency $2,000 for a replacement.

He adds that more drives failed after the November incident, and that he performed a forensic scan on them to prove that they were full of sensitive data.

""I said you can't turn them back in. The data is Privacy Act – it's against the law,"" Bellomy told Wired.com. ""We have no clue how many drives have been sent back over the past seven years since this system was in place. I am a government employee and I'm a veteran, and just this year had both my credit cards replaced because they were compromised.""

The Pentagon requires that old drives be degaussed (de-magnified) or physicall destroyed. In a 2006 report still in effect, the National Institute of Standards and Technology recommended purging and destruction methods (.pdf), while OMB rules (.pdf) dating to the same year require that agencies follow those NIST standards and encrypt sensitive data being sent or stored remotely.

But NARA says that while it no longer will send back drives, no rules were broken, and that warning veterans would cause unnecessary fear.

""NARA does not believe that a breach of PII (personally identifiable information) occurred, and therefore does not believe that notification is necessary or appropriate at this time,"" NARA told Wired.com in an e-mailed background paper (pdf). ""This view could change if the [inspector general] investigation of this incident later determines that GMRI ... or their subcontractors took some illegal or unethical action that may have compromised sensitive data contained on the inoperable November 2008 disk drive.""

As part of a six disk RAID 5 set-up, the drive likely contained about 18 percent of the database, and the disk also likely contained a quick look-up table that included all veterans' names and service-record numbers, according to Bellomy.

US-CERT, the nation's clearinghouse for data breaches and hacks, was notified in February by a NARA employee named Thomas Bennett, according to a document (.pdf) Bellomy provided to Wired.com.

""The information system contains a significant amount of Personally Identifiable Information (PII) and Sensitive PII about veterans,"" wrote Thomas Bennett, a NARA employee. ""As a result, we believe that is likely that the defective drive contains PII and SPII. At this time, we are trying to determine the location and status of the drive.""

The status of the NARA investigation is unclear, though the incident was alluded to in a recent report on the inspector general's activity.

""We are aware of the incidents and are looking into it,"" said Ross Weiland, the assistant inspector general for investigations at NARA . He declined further comment.

This isn't the first time that veteran's data has been lost or that NARA has been investigated for controversial data-handling practices.

The Veteran's Administration lost a laptop containing personal records on more than 25 million veterans in 2005 and, earlier this year, settled a class action suit over the breach by paying out $20 million.

NARA recently lost a hard drive full of data from the Clinton White House, including 100,000 Social Security numbers, political records and event logs. The data has still not been located.

Both the House Oversight Committee for Veterans Affairs and an oversight committee for NARA were notified of the lost drive, but neither committee returned calls seeking comment.

President Obama's pick for a new archivist, David S. Ferriero, is scheduled for a Senate confirmation hearing Thursday at 2:30.","government","2",0,0,0,0,0,0,0,1,"Poor_Security_Practices"
"50","Blue Cross Blue Shield of Tennessee","1,023,209","2010","BCBS of Tenn. Breach: Lessons Learned

In the wake of an information breach affecting nearly 1 million people, executives at BlueCross BlueShield of Tennessee have many lessons to share and plenty of advice to offer.

On Oct. 2, 2009, someone stole 57 unencrypted hard drives from servers at a call center the insurer had recently closed. So far, there have been no arrests, nor any evidence of fraud committed, the company reports.

[…]
Among the actions the Tennessee plan has taken and the lessons it has learned are:

Adding a layer of physical security to protect servers is a prudent step.
Encryption should be applied widely, including on servers.
Appointing a chief security officer helps to ensure coordination of all security efforts.
Organizations should carefully assess how long to store information.
In preparing a breach notification plan, be sure to prepare a pre-selected list of vendors that can help with various tasks.
Train customer service representatives to deal with breach-related questions from the public.
Communicate frequent updates on breach investigations through the media and a Web site.
Read more on HealthInfoSecurity.com.  Interestingly, one of the lessons that I think everyone should have learned from this incident is not included in their list:  think about recording calls for quality assurance purposes and ensure you have a way to retrieve PII and PHI if need be — and securely destroy such data on a frequent and regular basis.   BCBS spent extraordinary time trying to figure out what was on the audio tapes.   Of course, if strong encryption is used, some of that might not be necessary.","healthcare","2",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"51","US Military","260,000","2010","WikiLeaks embassy cables: download the key data and see how it breaks down
The WikiLeaks embassy cables release has produced a lot of stories but does it produce any useful data? We explain what it includes and how it breaks down - plus you can download the key data for every cable
Remember this is the date, time, sender and tags for each cable - NOT the text of the cable itself

WikiLeaks embassy cables revelations cover a huge dataset of official documents: 251,287 dispatches, from more than 250 worldwide US embassies and consulates. It's a unique picture of US diplomatic language - including over 50,000 documents covering the current Obama administration. But what does the data include?
The cables themselves come via the huge Secret Internet Protocol Router Network, or SIPRNet. SIPRNet is the worldwide US military internet system, kept separate from the ordinary civilian internet and run by the Department of Defense in Washington. Since the attacks of September 2001, there has been a move in the US to link up archives of government information, in the hope that key intelligence no longer gets trapped in information silos or ""stovepipes"". An increasing number of US embassies have become linked to SIPRNet over the past decade, so that military and diplomatic information can be shared. By 2002, 125 embassies were on SIPRNet: by 2005, the number had risen to 180, and by now the vast majority of US missions worldwide are linked to the system - which is why the bulk of these cables are from 2008 and 2009.
An embassy dispatch marked SIPDIS is automatically downloaded on to its embassy classified website. From there, it can be accessed not only by anyone in the state department, but also by anyone in the US military who has a security clearance up to the 'Secret' level, a password, and a computer connected to SIPRNet - which astonishingly covers over 3m people. There are several layers of data in here - ranging up to the ""SECRET NOFORN"" level, which means that they are designed never be shown to non-US citizens. Instead, they are supposed to be read by officials in Washington up to the level of current Secretary of State Hillary Clinton. The cables are normally drafted by the local ambassador or subordinates. The ""Top Secret"" and above foreign intelligence documents cannot be accessed from SIPRNet.

","government","5",0,0,1,0,0,0,0,0,"Intentional_Data_Leak"
"52","Gawker.com","1,500,000","2010","Gawker falls victim to hackers
 This article is more than 8 years old
Quarter of a million passwords published and Twitter feed used to taunt 'arrogant' management in audacious security breach
Over the past week several big corporations, from MasterCard and Visa to PayPal and Amazon, have come under attack from loosely co-ordinated networks of hackers operating in support of WikiLeaks under the codename of Anonymous. But over the weekend a new kind of victim fell foul of the hackers' attentions – the hyper-fashionable, super-tech-savvy Gawker websites.

The 24-hour attack penetrated deep into Gawker's computer systems, shattering its security shield and catching its executives off guard.

The hackers cracked more than a quarter of a million passwords in the website's database, dumping the information on the internet, where it could easily be found – including the personal details of Gawker's British founder and mastermind, Nick Denton.
""We understand how important trust is on the internet, and we're deeply sorry for and embarrassed about this breach of security – and of trust,"" a contrite Gawker management said, admitting that the integrity of all its nine sites had been compromised.

Within hours of the attack being launched on Saturday the assailants had gained access to Gawker's database of usernames and passwords as well as the programs that are used to serve up the sites, known as their source code. The first sign of the attack was a tweet posted to the Twitter account of the Gawker gadget site, Gizmodo, which said ""Support WikiLeaks"" and added ""Gawker.com hacked, 1.5 million usernames/emails/passwords taken.""

The use of Gawker's own Twitter feed by the hackers to announce their ploy was a breathtaking act of defiance.

Even more audaciously, they then went on to post real-time email exchanges between Gawker staffers that they had hacked into, in which the employees discussed how they were coming under attack.

The attack took the recent flurry of mass hacking escapades into new territory. Previous corporate targets such as PayPal and MasterCard have been selected for their failure to support WikiLeaks as part of the so-called Operation Payback launched by fans of the whistleblower site.
Gawker by contrast has had no special involvement in the WikiLeaks events and appears to have been singled out more for its past tussles with the hacking fraternity than for anything to do with its reporting of the embassy cables.

The cyber attack was claimed by a previously unknown group of hackers going by the name of Gnosis.

In an email exchange with the website Mediaite, one of its members said it had attacked Gawker because it wanted to expose the ""outright arrogance"" of Gawker's management by highlighting the site's inadequate security. ""Gawkmedia has possibly the worst security I have ever seen. It is scary how poor it is,"" the correspondent said. The complaint of arrogance appears to have been a reference to a feud that has been running for more than a year between Gawker and 4Chan, an image board frequently used by hackers, including those who orchestrated the Anonymous pro-WikiLeaks attacks over the past 10 days.

A sub-board on 4Chan, known as /b/, acts as a meeting house for some of the most dedicated hackers.

Among its many actions was the memorable prank in which it hijacked an internet poll asking fans of the teenage pop star Justin Bieber to decide which country he should tour next. 4Chaners latched on to the vote and swamped it, pushing North Korea into prime position.

The image board has been the subject of regular posts on Gawker written in the site's trademark snarky and forthright style. Gawker has called 4Chan the ""ground zero for internet mischief"", ""[home of] the internet's worst trolls"", and likened the experience of reading it to consuming ""heroin mixed with fibreglass"".

Last July, Gawker accused the wholly anonymous frequenters of 4Chan of hounding an 11-year-old girl so ferociously that she required police protection.

Within hours 4Chan hit back, organising a group attack on Gawker that succeeded in slowing, though not bringing down, the site.

Gawker writer Ryan Tate in turn ramped up the war by calling their assailants ""script kiddies"", ridiculing them as ""3Chan"" and goading them with the combative words: ""The best response to dumb young guys trying to intimidate their enemies online is to refuse to be intimidated. If any of you sad 4chaners have a problem with that, you know how to reach me.""

It took five months but it seems that the ""sad 4chaners"" have now indeed reached Gawker, with a vengeance. Though the Gnosis correspondent denied any formal link with 4Chan, it is clear that Gawker's sustained and critical coverage of the image board was an important motive for the cyber attack.

In the 500MB file the hackers placed on the file-sharing system BitTorrent, containing the information hacked out of Gawker's database, the attackers left a clear reference to Denton's earlier challenge. They wrote: ""Hows this for 'script kids?' Your empire has been compromised … You wanted attention, well guess what, You've got it now!""

The attackers also posted snippets from email exchanges between Gawker staff reporters that they stole, having broken into Gawker's private back channel. Several of the emails referred to 4Chan, with Gawker staffers composing joke headlines such as ""Suck on This, 4Chan"", ""We Are Not Scared of 4chan Here"" and ""Nick Denton Says Bring It On 4Chan"".

In the wake of the attack, Gawker has brought in an independent security company to vamp up its protection. Denton is keeping uncharacteristically silent about 4Chan, though nobody expects his restraint to last for long.","tech","2",0,0,0,1,0,0,0,0,"Web_Based_Attack"
"53","Triple-S Salud, Inc.","398,000","2010","Puerto Rico Dept of Health reports breach affecting 400,000; Triple-S Salud fined $100k
The Puerto Rico Department of Health has reported a security breach to HHS involving Triple-S Management and Corp. and Triple-S Salud, Inc. Triple-S Management is a managed care company while Triple-S Salud (Triple Health) is an independent licensee of the Blue Cross and Blue Shield Association for Puerto Rico.  The breach was reported to HHS as affecting 400,000, and was coded by HHS as “Unauthorized Access/Disclosure, Hacking/IT Incident” involving the “Network Server.” According to HHS’s logs, the breach reportedly occurred on Sept. 21.

I did some digging and found this notice on Triple-S Salud’s site:



If I’m translating it correctly, they are informing people that one or more employees of Medical Card System (illegally) accessed restricted areas of their web site until September 30 and that the breach affected people enrolled in the health plan of the Puerto Rican government for the North and North-Metro regions. The information accessed included the following types of subscriber information: subscriber name, address, diagnostic codes, procedure codes, and IPA (independent practice association).

Not trusting my rusty Spanish skills, however, I decided to keep digging. I found this as part of a Triple-S Management’s 10-Q securities filing:

Intrusions into Triple-C, Inc. Internet IPA Database

On September 21, 2010, we learned from a competitor that a specific internet database managed by our subsidiary TCI [Triple-C, Inc.], containing information pertaining to individuals previously insured by TSS [Triple-S Salud, Inc.] under the Government of Puerto Rico’s Health Insurance Plan (“HIP”) and to independent practice associations (“IPAs”) that provided services to those individuals, had been accessed without authorization by certain of our competitor’s employees from September 9 to September 15, 2010. We immediately began an investigation and engaged external resources to assist in this matter. TCI served as a third-party administrator for TSS in the administration of its HIP contracts until September 30, 2010. We have identified the information that was accessed and downloaded into the competitor’s system. The September 2010 intrusions may have potentially compromised protected health information of approximately 398,000 beneficiaries in the North and Metro-North regions of the HIP. We have also learned as a result of our ongoing investigation that protected health information of approximately 5,500 HIP beneficiaries, 2,500 Medicare beneficiaries and IPA data from all three HIP regions previously serviced by TSS was accessed through multiple, separate intrusions into the TCI IPA database from October 2008 to August 2010. The stolen information did not include Social Security numbers.

Our investigation has revealed that the security breaches were the result of unauthorized use of one or more active user IDs and passwords specific to the TCI IPA database, and not the result of breaches of TSS’s or the Corporation’s system security features. We cannot at this time determine the purpose of these breaches and do not know the extent of any fraudulent use of the information or its impact on the potentially affected individuals and IPAs. We believe, however, that the most likely target was financial information related to IPAs rather than the individuals’ information. During the course of our investigation we learned that there may have been improper uses of the IPA passwords by one or more consultants working for the IPAs. We have taken measures to strengthen the TCI server security and credentials management procedures, and are conducting an assessment of our system-wide data and facility security to prevent the occurrence of a similar incident in the future. We continue to investigate these events and to analyze the data as it becomes known to us to identify all individuals and entities whose information may have been impacted, and to take any additional corresponding remedial actions in accordance with applicable laws and regulations.

We have notified the appropriate Puerto Rico and federal government agencies of these events, and have issued public notice of the breaches as required under Puerto Rico law. We have received a number of inquiries and requests for information related to these events from these government agencies and are cooperating with them. As a result of our ongoing investigation, we have determined that additional filings and public notices will be required. In addition, the Puerto Rico government agency that oversees the HIP has levied a fine of $100,000 on TSS in connection with these incidents, which we are appealing. Other government agencies may seek to impose fines or other obligations on us. We do not have sufficient information at this time to predict whether any future action by government entities or others as a result of the data breaches would adversely affect our business, financial condition and results of operations.

Wow.","healthcare","4",0,0,1,0,0,0,0,0,"Intentional_Data_Leak"
"54","Ohio State University","760,000","2010","HACKED: DATA BREACH COSTLY FOR OHIO STATE, VICTIMS OF COMPROMISED INFO
Ohio State revealed a data breach Wednesday that has jeopardized the identities of 760,000 people and could cost the university $4 million.

The university notified current and former faculty, students, applicants and others affiliated with the university that hackers had accessed the server that stored their names, Social Security numbers, dates of birth and addresses.

“We regret that this has occurred and are exercising an abundance of caution in choosing to notify those affected,” said OSU Provost Joseph A. Alutto in a press release Wednesday.

Though the university said there’s no evidence data were stolen, computer privacy experts cautioned that the breach could result in identity theft of the individuals whose information is stored on the server.

“Unless proven otherwise, when information like that becomes exposed, there always is a potential for identity theft,” said Paul Stephens, director of policy and advocacy for Privacy Rights Clearinghouse, a San Diego-based nonprofit consumer advocacy group.

The university is offering 12 months of free credit protection to everyone whose information was on the server through Experian, Equifax and TransUnion.

The breach will cost the university $4 million in expenses related to investigative consulting, notification of the breach, credit security and a calling center for anyone with questions or concerns.

OSU officials said every current and former student, faculty and staff member was sent an e-mail Wednesday informing them of the data breach and precautions the university is taking in its aftermath.

OSU spokesman Jim Lynch said the time delay between the discovery of the breach in October and notification of it Wednesday was necessary to research and prepare for solutions to the problem.

“The last thing we want to do is announce something and not have support systems set up,” Lynch said. “It wouldn’t have been wise to put it out any sooner.”

In that time, the university hired two computer security consulting firms, Interhack Corp., based in Columbus, and Stroz Friedberg LLC, based in New York. These firms determined in November that there was no evidence indicating that hackers took information out of the server.

The university cannot disclose how hackers accessed the server for security reasons and because the incident is still under investigation.

Stephens said that improved security could have prevented the situation. OSU is seeking to strengthen its IT systems with the help of Interhack and Stroz Friedberg.

They are “looking to analyze how we can enhance our security,” Lynch said.

The university is unable to determine who hacked the system, but OSU Police are investigating the incident.

There have been 68 breaches of educational institutions in 2010, according to Privacy Rights Clearinghouse. The OSU breach affected the most records, with the next highest being the possible unauthorized access to 232,000 records at Houston Independent School District in Houston on Oct. 27.

OSU has had several data breaches in the past.

The Lantern reported on April 18, 2007, that 14,000 people were notified as a result of criminal intrusion into a database in the university’s Office of Research. In February of that year, two laptops containing an additional 3,500 chemistry students’ information were stolen.

The university notified 18,000 current and former students on Dec. 31, 2008, that their personal information was stored on a server that was exposed on the Internet.

On June 6, 2009, 350 OSU Dining Services student employees had their Social Security numbers leaked in an e-mail.

This is more than the average number of data breaches for an institution, Stephens said, adding that the recent breach of 760,000 records is considered very large.

“I guess in the age when we have WikiLeaks and whatnot, it shouldn’t be too surprising,” said Jeanette Pavlik, a fourth-year in communication.

Pavlik said she was surprised, however, that the university didn’t have greater security in place.

Interhack declined to comment, and Stroz Friedberg did not immediately return phone calls.

The university is directing those with more questions about protecting their credit to www.osu.edu/creditsafety.","academic","2",0,0,0,1,0,0,0,0,"Web_Based_Attack"
"55","Emergency Healthcare Physicians, Ltd.","180,111","2010","Chicago Breach Affects 180,000
Hard drive stolen from billing service
A suburban Chicago emergency physician group is alerting 180,000 patients about a breach stemming from the theft of an unencrypted portable hard drive at a billing service.
Emergency Healthcare Physicians Ltd. reports that the theft occurred Feb. 27 at Millennium Medical Management Resources Inc., Westmont, Ill. The hard drive is believed to have contained records from 2003 to 2006 that included patient names, addressees, phone numbers, birth dates, Social Security numbers, and, in some cases, drivers' license numbers.

The practice did not include the total number of patients affected in its media release, but reported the figure to federal regulators as required under the HITECH Act's breach notification rule.

No instances of identity theft or other fraud have been reported so far as a result of the incident, the practice reports. It's advising patients to monitor their credit reports and place a fraud alert on them.

The billing service company is now encrypting its portable storage devices, the practice said.","healthcare","4",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"56","Colorado government","105,470","2010","Colorado agency notifies 105,470 clients of stolen hard drive

The Colorado Department of Health Care Policy & Financing is notifying 105,470 clients receiving state-provided health insurance that a stolen hard drive contained some of their personal information. A statement on the agency’s web site does not provide much detail and simply says:

State officials discovered that there was an unauthorized removal of a computer hard drive housed at the Office of Information Technology (OIT).

The information did NOT include addresses, dates of birth, social security numbers or any other financial information that could be used for identity theft. It included name, state ID number and the name of the client’s program.

Approximately 111,000 clients, or one-fifth of those receiving public health insurance, will receive notification by first-class mail, as required by HIPAA.

Please email your questions to incident-info@state.co.us or call us at 1-866-668-2656 (toll-free) or 303-866-4431.

We take client privacy very seriously and are doing everything we can to recover the missing hard drive. To support our efforts, the Colorado Bureau of Investigation is conducting a criminal investigation based on our request.","healthcare","2",0,1,0,0,0,0,0,0,"Lost_or_Stolen_Device"
"57","AT&T","114,000","2010","Security leak leaves US Apple iPad owners at risk
Email addresses obtained by hackers after a breach of AT&T website
The White House chief of staff is believed to be among 114,000 iPad owners, including chief executives and military officials, whose personal details have been exposed through a breach of the website of the US phone network AT&T.

AT&T acknowledged the leak but said the risk was limited to the subscriber's email address and that the issue had been ""escalated to the highest levels of the company"". UK customers are not thought to have been affected or to be vulnerable to the same attack.

The names and email addresses of those involved apparently includes Rahm Emanuel, the White House chief of staff, members of the US Senate and House of Representatives, staff at Nasa and the department of homeland security, the New York Times, Viacom, Time Warner, bankers and venture capitalists.
It will be an embarrassment to Apple, which has sold more than 2m of the tablet computers since they went on sale in the US at the start of April, and late last month internationally. The iPad comes in two main versions, one with 3G and one without. The news that the 3G version could have been liable to hacking could depress sales of the more profitable version. It will also increase friction between Apple and AT&T, which has had the exclusive rights to sell the iPhone since 2007, and now the 3G-enabled iPad in the US. The exclusivity is believed to be a five-year deal but many Apple fans have accused AT&T's network of being unable to support their growing demand for bandwidth.

The Gawker website, which says it has seen details of the email addresses – provided in a foot-high printout – suggests that the flaw makes any of those people vulnerable to spam marketing and malicious hacking. The breach was demonstrated by a team of hackers calling themselves Goatse Security, who have previously pointed to weaknesses in web browsers. They were able to use a flaw in the AT&T website to get the email address of any AT&T subscriber by providing a piece of data called an ICC-IDS, used to identify the SIM card belonging to that subscriber.

The team sent data to the site pretending to be each of a huge sequence of ICC-IDS devices, and requested the email address. They say they also shared the knowledge of the hack with others, until AT&T closed the breach a few days ago.

An AT&T spokesman said: ""AT&T was informed by a business customer on Monday of the potential exposure of their iPad ICC-IDS. The only information that can be derived from the ICC-IDS is the e-mail address attached to that device. This issue was escalated to the highest levels of the company and was corrected by Tuesday; and we have essentially turned off the feature [on the website] that provided the e-mail addresses.

""The person or group who discovered this gap did not contact AT&T. We are continuing to investigate and will inform all customers whose e-mail addresses and ICC-IDS may have been obtained.""

""We take customer privacy very seriously and while we have fixed this problem, we apologise to our customers who were impacted.""

Apple did not have any statement.

If the hackers have discovered a flaw that was widespread in AT&T's handling of the ICC-ID system, then it is possible that every owner in the US with an iPhone 3GS or a 3G iPad may have had their email address lifted by the group, and possibly others.

Only iPads which use 3G networking would be vulnerable to the hack, and although any device which uses a SIM will have an ICC-ID, it is not known whether the British networks which provide connectivity for the iPad would have the same flaw as AT&T's website.
","telecoms","1",0,0,0,1,0,0,0,0,"Web_Based_Attack"
